Case,Comparison,Reader1,Reader2,Pre/Post,Organ,Dice Score
Case_13,Expert vs Novice,Natally,Burcin,post,pancreas,0.7065834733221342
Case_13,Expert vs Novice,Natally,Onur,post,pancreas,0.8405310465957228
Case_13,Expert vs Novice,Maria,Burcin,post,pancreas,0.7648766328011611
Case_13,Expert vs Novice,Maria,Onur,post,pancreas,0.8327705785727323
Case_13,Experts,Natally,Maria,post,pancreas,0.792819988853799
Case_13,Novices,Burcin,Onur,post,pancreas,0.7246513826518554
Case_13,Expert vs Novice,Natally,Burcin,post,tumor,0.33201581027667987
Case_13,Expert vs Novice,Natally,Onur,post,tumor,0.7531986531986532
Case_13,Expert vs Novice,Maria,Burcin,post,tumor,0.37031427489587276
Case_13,Expert vs Novice,Maria,Onur,post,tumor,0.6766456266907124
Case_13,Experts,Natally,Maria,post,tumor,0.7766688844533156
Case_13,Novices,Burcin,Onur,post,tumor,0.23919449901768172
Case_15,Expert vs Novice,Natally,Burcin,pre,pancreas,0.6912412233726051
Case_15,Expert vs Novice,Natally,Onur,pre,pancreas,0.8175958510835339
Case_15,Expert vs Novice,Maria,Burcin,pre,pancreas,0.7334772987816257
Case_15,Expert vs Novice,Maria,Onur,pre,pancreas,0.7867732746342095
Case_15,Experts,Natally,Maria,pre,pancreas,0.7849731097753876
Case_15,Novices,Burcin,Onur,pre,pancreas,0.6726454672584666
Case_15,Expert vs Novice,Natally,Burcin,pre,tumor,0.3416647557899564
Case_15,Expert vs Novice,Natally,Onur,pre,tumor,0.7583582495243273
Case_15,Expert vs Novice,Maria,Burcin,pre,tumor,0.3402624207577768
Case_15,Expert vs Novice,Maria,Onur,pre,tumor,0.668742829044419
Case_15,Experts,Natally,Maria,pre,tumor,0.547463768115942
Case_15,Novices,Burcin,Onur,pre,tumor,0.3856738162687171
Case_15,Expert vs Novice,Natally,Burcin,post,pancreas,0.7017937960424169
Case_15,Expert vs Novice,Natally,Onur,post,pancreas,0.8049217138002185
Case_15,Expert vs Novice,Maria,Burcin,post,pancreas,0.7255480519480519
Case_15,Expert vs Novice,Maria,Onur,post,pancreas,0.7914616883207893
Case_15,Experts,Natally,Maria,post,pancreas,0.7489900165705756
Case_15,Novices,Burcin,Onur,post,pancreas,0.6983542926375069
Case_15,Expert vs Novice,Natally,Burcin,post,tumor,0.4848006316620608
